invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I138884,C241288,Clothing,5,8172.24,05-08-2022,Kanyon
I317333,C111565,Shoes,3,8868.64,12-12-2021,Forum Istanbul
I127801,C266599,Clothing,1,4863.95,09-11-2021,Metrocity
I173702,C988172,Shoes,5,711.48,16-05-2021,Metropol AVM
I337046,C189076,Books,4,1110.32,24-10-2021,Kanyon
I227836,C657758,Clothing,5,869.43,24-05-2022,Forum Istanbul
I121056,C151197,Cosmetics,1,1788.28,13-03-2022,Istinye Park
I293112,C176086,Clothing,2,1336.31,13-01-2021,Mall of Istanbul
I293455,C159642,Clothing,3,7393.68,04-11-2021,Metrocity
I326945,C283361,Clothing,2,9057.36,22-08-2021,Kanyon
I306368,C240286,Food & Beverage,2,3496.77,25-12-2022,Metrocity
I139207,C191708,Books,1,4998.51,28-10-2022,Emaar Square Mall
I640508,C225330,Toys,4,8427.92,31-07-2022,Metrocity
I179802,C312861,Clothing,2,3360.96,17-11-2022,Cevahir AVM
I336189,C555402,Clothing,2,2355.39,03-06-2022,Kanyon
I688768,C362288,Shoes,5,8660.31,07-11-2021,Viaport Outlet
I294687,C300786,Books,2,9303.17,16-01-2021,Metrocity
I195744,C330667,Food & Beverage,3,4393.9,05-01-2022,Zorlu Center
I993048,C218149,Clothing,2,753.95,26-07-2021,Metropol AVM
I992454,C196845,Toys,4,9519.95,07-03-2023,Cevahir AVM
I183746,C220180,Clothing,1,4002.13,15-02-2023,Emaar Square Mall
I412481,C125696,Food & Beverage,1,3339.01,01-05-2021,Cevahir AVM
I823067,C322947,Clothing,2,2899.79,18-06-2022,Cevahir AVM
I252275,C313348,Technology,5,4155.59,26-10-2021,Kanyon
I174250,C204553,Books,5,2626.68,16-12-2022,Metrocity
I195396,C285161,Toys,2,7378.66,16-05-2021,Istinye Park
I196704,C289625,Cosmetics,5,5148.96,20-04-2022,Mall of Istanbul
I217053,C192344,Shoes,4,1968.87,10-10-2022,Emaar Square Mall
I655874,C447138,Shoes,3,5410.38,23-08-2022,Cevahir AVM
I209744,C251229,Cosmetics,3,7477.79,29-04-2021,Istinye Park
I161949,C159164,Toys,3,7477.42,04-07-2022,Mall of Istanbul
I331891,C501658,Clothing,1,3690.39,21-11-2021,Emaar Square Mall
I768348,C176727,Shoes,3,6103.29,23-02-2022,Kanyon
I109053,C232624,Clothing,4,4257.39,11-07-2021,Metrocity
I167211,C164092,Shoes,4,9500.19,30-08-2022,Zorlu Center
I339732,C276887,Food & Beverage,1,1838.76,04-01-2023,Emaar Square Mall
I147062,C245456,Clothing,5,8111.19,21-06-2022,Kanyon
I187519,C450287,Clothing,2,6948.63,08-07-2022,Metrocity
I106674,C204279,Clothing,2,7956.46,27-02-2022,Kanyon
I473411,C452806,Clothing,1,9444.42,19-12-2022,Metropol AVM
I246550,C716788,Food & Beverage,3,4987.9,10-09-2021,Zorlu Center
I138674,C155059,Cosmetics,2,8106.62,14-02-2022,Metropol AVM
I752693,C306662,Cosmetics,3,9750.64,28-04-2022,Metrocity
I826174,C607615,Shoes,4,1567.25,20-06-2022,Metrocity
I296025,C120164,Shoes,3,388.07,21-04-2022,Kanyon
I117291,C134449,Books,5,527.96,09-12-2022,Zorlu Center
I267193,C317818,Cosmetics,3,6867.99,12-01-2023,Mall of Istanbul
I205366,C241642,Clothing,4,207.92,07-11-2022,Zorlu Center
I269690,C126436,Cosmetics,3,4897.82,07-02-2022,Zorlu Center
I304265,C653385,Books,5,7004.51,13-06-2021,Forum Istanbul
I246562,C227070,Cosmetics,5,4585.35,23-08-2021,Emaar Square Mall
